"Region 2019","Degree of urbanisation, %","Population","Population change from the previous year, %","Share of persons aged under 15 of the population, %","Share of persons aged 15 to 64 of the population, %","Share of persons aged over 64 of the population, %","Share of Swedish-speakers of the population, %","Share of foreign citizens of the population, %","Excess of births, persons","Intermunicipal migration gain/loss, persons","Number of families","Number of household-dwelling units","Share of household-dwelling units living in terraced houses and detached houses, %","Share of household-dwelling units living in rental dwellings, %","Share of persons aged 15 or over with at least upper secondary qualifications, %","Share of persons aged 15 or over with tertiary level qualifications, %","Employed labour force resident in the area","Employment rate, %","Share of persons working in their municipality of residence, %","Proportion of the unemployed among the labour force, %","Proportion of pensioners of the population, %","Economic dependency ratio","Number of workplaces in the area","Share of workplaces in primary production, %","Share of workplaces in secondary production, %","Share of workplaces in services, %","Workplace self-sufficiency","Annual contribution margin, EUR per capita","Loan stock, EUR per capita","Group loan stock, EUR per capita","Educational and cultural activities, total, operating net costs, EUR per capita","Social and health care activities, total, operating net costs, EUR per capita"
"WHOLE COUNTRY",86.1,5517919,0.1,16.0,62.2,21.8,5.2,4.7,-6950,0,1468681,2705499,39.0,33.3,73.3,31.8,2327730,70.5,65.4,11.3,25.7,136.8,2327730,2.9,21.1,74.8,100.0,376.1,3039.4,6537.1,1996.0,3318.5
"Akaa",87.5,16611,-0.9,17.7,59.4,22.9,0.2,1.7,-87,-96,4577,7805,72.6,21.3,70.6,25.1,6852,71.9,46.5,9.9,26.9,144.7,4652,3.4,36.8,58.3,67.9,134.1,3256.7,4282.6,1676.3,3309.1
"Alajärvi",61.4,9700,-1.3,17.4,55.4,27.2,0.1,2.1,-49,-104,2646,4115,91.7,16.0,66.0,21.5,3508,67.7,76.3,11.8,32.5,180.2,3484,11.0,27.9,59.3,99.3,274.3,2435.7,4713.5,2271.6,3835.7
"Alavieska",53.0,2573,-1.4,19.4,57.0,23.7,0.2,0.6,-4,-33,658,1109,97.7,19.8,68.0,17.3,1004,71.5,47.3,8.7,28.7,160.0,750,24.7,20.0,53.1,74.7,433.7,3422.9,3590.0,1986.0,3959.2
"Alavus",60.0,11544,-1.4,17.0,56.1,26.9,0.1,1.1,-65,-104,3120,5274,87.2,21.4,66.5,19.4,4354,69.5,77.4,10.1,32.1,169.0,4314,9.1,22.9,66.7,99.1,251.2,3328.0,6158.4,1883.1,4001.3
"Asikkala",64.7,8149,-1.2,14.2,53.6,32.2,0.2,1.7,-70,-35,2298,4032,77.1,18.5,69.0,26.5,2988,69.1,48.2,12.1,36.5,176.0,2254,9.4,29.4,58.7,75.4,362.6,1284.8,2835.7,1626.7,3560.4
"Askola",53.8,4958,-0.6,20.1,60.9,19.1,3.4,1.7,0,-39,1396,2077,96.8,11.8,69.0,21.7,2217,77.9,32.8,7.8,22.5,125.1,1331,8.8,37.7,51.2,60.0,-39.9,4277.7,5681.3,2038.5,3107.7
"Aura",69.7,3984,-0.2,19.8,61.6,18.6,0.7,2.4,2,-14,1125,1774,94.8,14.1,69.3,23.4,1823,78.0,29.6,6.6,21.9,118.9,1131,5.8,35.5,56.1,62.0,205.6,2877.0,3577.1,1808.5,2947.0
"Brändö",0.0,449,-0.7,9.1,57.2,33.6,73.3,8.5,-6,1,116,227,95.6,20.3,64.7,30.9,205,80.8,60.5,3.8,35.6,120.5,139,25.9,12.9,54.0,67.8,726.1,463.3,0.0,2632.5,2029.0
"Eckerö",42.8,961,1.4,14.4,60.2,25.4,88.7,12.9,-2,-3,277,456,91.4,14.5,65.4,20.2,469,82.0,42.4,3.9,26.4,102.1,294,15.6,13.9,61.6,62.7,516.1,616.0,0.0,2149.8,2743.0
"Enonkoski",39.9,1405,-0.8,11.9,50.2,37.9,0.1,1.8,-16,-2,399,697,95.8,19.5,63.9,17.9,466,65.6,53.6,15.7,42.1,203.9,373,20.6,5.1,70.2,80.0,241.3,0.0,770.1,1622.1,4710.3
